teamName,urlName,headshotUrl,scorerId,upcomingEventStatusId,rank,teamLogo,posIdsNoFlex,defaultPosId,posShortNames,team,rookie,minorsEligible,posIds,teamId,name,teamShortName,shortName,next_match,fpts,fpts_per_game,statusId
Fulham,antonee-robinson,https://fantraximg.com/assets/images/logos/sportsteam/epl/Fulham.png,03rzp,2,246,True,['703'],703,D,False,False,False,['703'],110063,Antonee Robinson,FUL,A. Robinson,@MCI<br/>Wed 2:30PM,76.75,6.4,
Crystal Palace,will-hughes,https://fantraximg.com/assets/images/logos/sportsteam/epl/Crystal_Palace.png,04f6o,,247,True,['702'],702,M,False,False,False,['702'],110045,Will Hughes,CRY,W. Hughes,BUR<br/>Wed 2:30PM,76,3.45,4
Burnley,lyle-foster,https://fantraximg.com/assets/images/logos/sportsteam/epl/Burnley_3.png,06c4o,2,248,True,['701'],701,F,False,False,False,['701'],110223,Lyle Foster,BUR,L. Foster,@CRY<br/>Wed 2:30PM,75.5,4.19,
Everton,norberto-bercique-gomes-betuncal,https://fantraximg.com/assets/images/logos/sportsteam/epl/Everton.png,06fvn,,249,True,['701'],701,F,False,False,False,['701'],110050,Beto,EVE,Beto,BOU 2<br/>@EVE 1 F,75,2.88,
Liverpool,jeremie-frimpong,https://fantraximg.com/assets/images/logos/sportsteam/epl/Liverpool.png,06v05,,250,True,['703'],703,D,False,False,False,['703'],110070,Jeremie Frimpong,LIV,J. Frimpong,@SUN<br/>Wed 3:15PM,74.5,6.77,
Arsenal,gabriel-teodoro-martinelli-silva,https://fantraximg.com/assets/images/logos/sportsteam/epl/Arsenal.png,052h5,2,252,True,['702'],701,M,False,False,False,['702'],110000,Gabriel Martinelli,ARS,Gabriel Martinelli,@BRF Thu<br/>3:00PM<br/>@WOL Wed3:00PM,74,3.89,
Burnley,josh-laurent,https://fantraximg.com/assets/images/logos/sportsteam/epl/Burnley_3.png,03dyx,2,251,True,['702'],702,M,False,False,False,['702'],110223,Josh Laurent,BUR,J. Laurent,@CRY<br/>Wed 2:30PM,74,3.36,4
Aston Villa,ian-maatsen,https://fantraximg.com/assets/images/logos/sportsteam/epl/Aston_Villa.png,052cb,2,253,True,['703'],703,D,False,False,False,['703'],110011,Ian Maatsen,AVL,I. Maatsen,BHA<br/>Wed 2:30PM,73.5,3.87,
Wolverhampton,marshall-munetsi,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,06rma,,254,True,['702'],702,M,False,False,False,['702'],110191,Marshall Munetsi,WOL,M. Munetsi,@NOT Wed<br/>2:30PM<br/>ARS Wed3:00PM,73.5,5.65,4
Burnley,marcus-edwards,https://fantraximg.com/assets/images/logos/sportsteam/epl/Burnley_3.png,044w8,,255,True,['701'],701,F,False,False,False,['701'],110223,Marcus Edwards,BUR,M. Edwards,@CRY<br/>Wed 2:30PM,72.5,4.83,4
Aston Villa,pau-torres,https://fantraximg.com/assets/images/logos/sportsteam/epl/Aston_Villa.png,06crm,2,256,True,['703'],703,D,False,False,False,['703'],110011,Pau Torres,AVL,P. Torres,BHA<br/>Wed 2:30PM,70.5,4.7,
Liverpool,conor-bradley,https://fantraximg.com/assets/images/logos/sportsteam/epl/Liverpool.png,05uhj,,257,True,['703'],703,D,False,False,False,['703'],110070,Conor Bradley,LIV,C. Bradley,@SUN<br/>Wed 3:15PM,69.75,4.65,4
Manchester City,rodrigo-hernandez-cascante,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_City.png,0524k,2,258,True,['702'],702,M,False,False,False,['702'],110080,Rodri,MCI,Rodri,FUL<br/>Wed 2:30PM,69.5,5.35,
Wolverhampton,hee-chan-hwang,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,05w91,,259,True,['701'],701,F,False,False,False,['701'],110191,Hwang Hee-Chan,WOL,Hwang Hee-Chan,@NOT Wed<br/>2:30PM<br/>ARS Wed3:00PM,69.5,3.48,4
Arsenal,piero-hincapie,https://fantraximg.com/assets/images/logos/sportsteam/epl/Arsenal.png,070hq,2,261,True,['703'],703,D,False,False,False,['703'],110000,Piero Hincapié,ARS,P. Hincapié,@BRF Thu<br/>3:00PM<br/>@WOL Wed3:00PM,68.5,4.57,
Tottenham Hotspur,lucas-bergvall,https://fantraximg.com/assets/images/logos/sportsteam/epl/Tottenham_Hotspur.png,06mn7,,260,True,['702'],702,M,False,False,False,['702'],110160,Lucas Bergvall,TOT,L. Bergvall,NEW 2<br/>@TOT 1 F,68.5,4.03,5
Burnley,hjalmar-ekdal,https://fantraximg.com/assets/images/logos/sportsteam/epl/Burnley_3.png,06c4h,,262,True,['703'],703,D,False,False,False,['703'],110223,Hjalmar Ekdal,BUR,H. Ekdal,@CRY<br/>Wed 2:30PM,67,4.47,4
Sunderland,bertrand-traore,https://fantraximg.com/assets/images/logos/sportsteam/epl/Sunderland.png,035n1,,263,True,['702'],701,M,False,False,False,['702'],110141,Bertrand Traore,SUN,B. Traore,LIV<br/>Wed 3:15PM,66.5,6.65,4
Crystal Palace,jorgen-strand-larsen,https://fantraximg.com/assets/images/logos/sportsteam/epl/Crystal_Palace.png,06mow,2,267,True,['701'],701,F,False,False,False,['701'],110045,Jorgen Strand Larsen,CRY,J. Strand Larsen,BUR<br/>Wed 2:30PM,65.5,2.85,
Crystal Palace,brennan-johnson,https://fantraximg.com/assets/images/logos/sportsteam/epl/Crystal_Palace.png,061ya,,264,True,['701'],701,F,False,False,False,['701'],110045,Brennan Johnson,CRY,B. Johnson,BUR<br/>Wed 2:30PM,65.5,2.98,
Manchester United,kobbie-mainoo,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_United.png,0666p,,265,True,['702'],702,M,False,False,False,['702'],110090,Kobbie Mainoo,MUN,K. Mainoo,MUN 1<br/>@WHU 1 F,65.5,3.85,
Manchester United,joshua-zirkzee,https://fantraximg.com/assets/images/logos/sportsteam/epl/Manchester_United.png,06mve,,268,True,['701'],701,F,False,False,False,['701'],110090,Joshua Zirkzee,MUN,J. Zirkzee,MUN 1<br/>@WHU 1 F,65.5,4.09,5
West Ham United,freddie-potts,https://fantraximg.com/assets/images/logos/sportsteam/epl/West_Ham_United.png,05y5b,,266,True,['702'],702,M,False,False,False,['702'],110175,Freddie Potts,WHU,F. Potts,MUN 1<br/>@WHU 1 F,65.5,3.45,5
Leeds United,ao-tanaka,https://fantraximg.com/assets/images/logos/sportsteam/epl/Leeds_United2.png,06uzy,,269,True,['702'],702,M,False,False,False,['702'],110261,Ao Tanaka,LEE,A. Tanaka,LEE 2<br/>@CHE 2 F,65,3.25,5
