date,team,opp,score,fpts,min,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,player_id,player_name,ga,sv,pks,hcs,sm,season_x,matchweek,home_ind,scorerId,position,calc_fpts,apts,minutes,last_minutes,season_minutes,last_fpts,season_fpts,fpts_per_min_gameweek,fpts_per_min_season,fpts_per_90_gameweek,fpts_per_90_season,last_apts,season_apts,apts_per_min_gameweek,apts_per_min_season,apts_per_90_gameweek,apts_per_90_season,last_g,season_g,g_per_min_gameweek,g_per_min_season,g_per_90_gameweek,g_per_90_season,last_kp,season_kp,kp_per_min_gameweek,kp_per_min_season,kp_per_90_gameweek,kp_per_90_season,last_at,season_at,at_per_min_gameweek,at_per_min_season,at_per_90_gameweek,at_per_90_season,last_sot,season_sot,sot_per_min_gameweek,sot_per_min_season,sot_per_90_gameweek,sot_per_90_season,last_tkw,season_tkw,tkw_per_min_gameweek,tkw_per_min_season,tkw_per_90_gameweek,tkw_per_90_season,last_dis,season_dis,dis_per_min_gameweek,dis_per_min_season,dis_per_90_gameweek,dis_per_90_season,last_acnc,season_acnc,acnc_per_min_gameweek,acnc_per_min_season,acnc_per_90_gameweek,acnc_per_90_season,last_int,season_int,int_per_min_gameweek,int_per_min_season,int_per_90_gameweek,int_per_90_season,last_clr,season_clr,clr_per_min_gameweek,clr_per_min_season,clr_per_90_gameweek,clr_per_90_season,last_cos,season_cos,cos_per_min_gameweek,cos_per_min_season,cos_per_90_gameweek,cos_per_90_season,last_bs,season_bs,bs_per_min_gameweek,bs_per_min_season,bs_per_90_gameweek,bs_per_90_season,last_aer,season_aer,aer_per_min_gameweek,aer_per_min_season,aer_per_90_gameweek,aer_per_90_season,last_gao,season_gao,gao_per_min_gameweek,gao_per_min_season,gao_per_90_gameweek,gao_per_90_season,last_cs,season_cs,cs_per_min_gameweek,cs_per_min_season,cs_per_90_gameweek,cs_per_90_season,last_sv,season_sv,sv_per_min_gameweek,sv_per_min_season,sv_per_90_gameweek,sv_per_90_season,last_pks,season_pks,pks_per_min_gameweek,pks_per_min_season,pks_per_90_gameweek,pks_per_90_season,last_hcs,season_hcs,hcs_per_min_gameweek,hcs_per_min_season,hcs_per_90_gameweek,hcs_per_90_season,last_sm,season_sm,sm_per_min_gameweek,sm_per_min_season,sm_per_90_gameweek,sm_per_90_season,fantrax_projection,positional_avg_fpts_per_90_gameweek,positional_avg_fpts_per_90_season,positional_avg_apts_per_90_gameweek,positional_avg_apts_per_90_season,positional_avg_g_per_90_gameweek,positional_avg_g_per_90_season,positional_avg_kp_per_90_gameweek,positional_avg_kp_per_90_season,positional_avg_at_per_90_gameweek,positional_avg_at_per_90_season,positional_avg_sot_per_90_gameweek,positional_avg_sot_per_90_season,positional_avg_tkw_per_90_gameweek,positional_avg_tkw_per_90_season,positional_avg_dis_per_90_gameweek,positional_avg_dis_per_90_season,positional_avg_acnc_per_90_gameweek,positional_avg_acnc_per_90_season,positional_avg_int_per_90_gameweek,positional_avg_int_per_90_season,positional_avg_clr_per_90_gameweek,positional_avg_clr_per_90_season,positional_avg_cos_per_90_gameweek,positional_avg_cos_per_90_season,positional_avg_bs_per_90_gameweek,positional_avg_bs_per_90_season,positional_avg_aer_per_90_gameweek,positional_avg_aer_per_90_season,positional_avg_gao_per_90_gameweek,positional_avg_gao_per_90_season,positional_avg_cs_per_90_gameweek,positional_avg_cs_per_90_season,positional_avg_sv_per_90_gameweek,positional_avg_sv_per_90_season,positional_avg_pks_per_90_gameweek,positional_avg_pks_per_90_season,positional_avg_hcs_per_90_gameweek,positional_avg_hcs_per_90_season,positional_avg_sm_per_90_gameweek,positional_avg_sm_per_90_season,last_score,team_result,season_y,table_points_x,last_week_goals_for,last_week_goals_against,total_team_goals_for,total_team_goals_against,goal_differential,table_points_y,team_week_standing,table_points,team_week_standing_opp
2025-12-02,MCI,FUL,W 5-4,-3.75,90,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0,070hs,Gianluigi Donnarumma,4,1,0,0,0,2025,14,True,070hs,G,-3.75,-3.75,90,90.0,900.0,4.25,72.25,0.047,0.08,4.23,7.2,4.25,72.25,0.047,0.08,4.23,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.011,0.019,0.99,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.007,0.0,0.63,2.0,8.0,0.022,0.009,1.98,0.8099999999999999,0.0,4.0,0.0,0.004,0.0,0.36,1.0,19.0,0.011,0.021,0.99,1.8900000000000001,1.0,1.0,0.011,0.001,0.99,0.09,0.0,5.0,0.0,0.006,0.0,0.54,0.0,3.0,0.0,0.003,0.0,0.27,12.03,5.5942105263157895,7.03421052631579,5.5942105263157895,7.062631578947368,0.0,0.0,0.0,0.0409090909090909,0.0,0.01173913043478261,0.0,0.0,0.0,0.01636363636363636,0.0,0.0,0.0,0.0,0.0,0.015652173913043476,1.08,1.2825,0.0,0.00818181818181818,0.0,0.0,0.17217391304347826,0.33428571428571424,1.485,1.1557894736842107,0.17217391304347826,0.2742857142857143,2.934,2.5578947368421048,0.0,0.015652173913043476,0.33,0.7335,0.17217391304347826,0.13090909090909095,W 3-2,3,2025,25,3,2,22,8,14,25,2,17,15
2025-12-02,FUL,MCI,L 4-5,2.5,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,070hr,Jonah Kusi-Asare,0,0,0,0,0,2025,14,False,070hr,F,2.5,2.5,16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.998750000000001,10.0475,6.84125,7.347945205479451,0.1453846153846154,0.22792207792207794,0.7024675324675325,0.9484615384615385,0.05076923076923077,0.11688311688311687,0.6253246753246754,0.7580769230769231,0.32025974025974024,0.4570129870129871,0.9507692307692307,1.3184415584415585,0.1390909090909091,0.24662337662337666,0.09467532467532469,0.21576923076923074,0.7270129870129871,0.9198701298701298,0.8665384615384614,0.8731168831168832,0.0,0.0796153846153846,1.2833766233766233,1.493076923076923,0.9327272727272726,1.268181818181818,0.1285714285714286,0.2517721518987342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 1-2,0,2025,17,1,2,1,2,-1,17,15,25,2
2025-12-03,ARS,BRF,W 2-0,13.25,90,0,0,0,0,1,0,0,0,0,3,5,0,0,2,0,0,0,0,1,070hq,Piero Hincapié,0,0,0,0,0,2025,14,False,070hq,D,13.25,7.25,90,90.0,201.0,1.75,4.25,0.019,0.021,1.71,1.8900000000000001,1.75,4.25,0.019,0.021,1.71,1.8900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.011,0.005,0.99,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.011,0.01,0.99,0.9,0.0,1.0,0.0,0.005,0.0,0.45,1.0,1.0,0.011,0.005,0.99,0.45,0.0,1.0,0.0,0.005,0.0,0.45,3.0,7.0,0.033,0.035,2.97,3.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.011,0.005,0.99,0.45,0.0,2.0,0.0,0.01,0.0,0.9,1.0,2.0,0.011,0.01,0.99,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,6.912336448598131,6.832429906542055,5.04,4.868411214953272,0.0,0.027155172413793102,0.35139130434782606,0.4302631578947369,0.04230769230769231,0.06051724137931034,0.0423076923076923,0.1123008849557522,0.8553913043478262,1.0425,0.20582608695652174,0.3726315789473685,0.24157894736842103,0.23893805309734514,0.9712173913043478,0.9780530973451327,4.26,4.145046728971963,0.15212389380530975,0.2954867256637168,0.46991150442477875,0.4276991150442478,1.6606194690265488,1.896728971962617,1.073628318584071,1.2568141592920354,0.23243478260869566,0.2453097345132743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T 1-1,1,2025,30,1,1,8,2,6,30,1,19,10
2025-12-02,TOT,NEW,T 2-2,5.5,76,0,1,0,0,1,3,0,0,0,0,2,3,0,2,0,0,0,1,0,070hp,Randal Kolo Muani,0,0,0,0,0,2025,14,True,070hp,F,5.5,5.5,76,90.0,301.0,-1.5,8.0,-0.017,0.027,-1.53,2.43,-1.5,8.0,-0.017,0.027,-1.53,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.007,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.013,0.0,1.17,3.0,5.0,0.033,0.017,2.97,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.003,0.0,0.27,1.0,2.0,0.011,0.007,0.99,0.63,1.0,1.0,0.011,0.003,0.99,0.27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.022,0.017,1.98,1.53,2.0,5.0,0.022,0.017,1.98,1.53,0.0,1.0,0.0,0.003,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13,9.043676470588235,10.937647058823528,7.317794117647059,7.736029411764705,0.09625,0.2995890410958904,0.9075000000000001,0.9149999999999999,0.06780821917808219,0.11310810810810812,0.7236986301369862,0.9172602739726029,0.30875,0.59875,0.85375,1.27,0.055,0.21875,0.07125,0.21250000000000002,0.7200000000000001,1.0058108108108108,0.8112328767123288,0.8424999999999999,0.0,0.08756756756756756,1.27625,1.49875,0.8712500000000001,1.4612500000000002,0.055,0.1885135135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 1-2,0,2025,18,1,2,8,11,-3,18,14,18,12
2025-12-03,SUN,LIV,T 1-1,-1.25,10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,070ho,Lutsharel Geertruida,0,0,0,0,0,2025,14,True,070ho,D,-1.25,-1.25,10,3.0,425.0,0.25,19.25,0.083,0.045,7.470000000000001,4.05,0.25,19.25,0.083,0.045,7.470000000000001,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002,0.0,0.18,0.0,6.0,0.0,0.014,0.0,1.26,0.0,1.0,0.0,0.002,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.007,0.0,0.63,1.0,15.0,0.333,0.035,29.970000000000002,3.1500000000000004,0.0,5.0,0.0,0.012,0.0,1.08,0.0,3.0,0.0,0.007,0.0,0.63,0.0,5.0,0.0,0.012,0.0,1.08,0.0,5.0,0.0,0.012,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.744166666666667,6.646666666666667,5.230833333333332,4.792293577981651,0.0,0.020526315789473684,0.4226086956521739,0.4343478260869565,0.05120689655172414,0.05210526315789473,0.06769230769230769,0.11327586206896552,0.9647368421052631,0.9655263157894738,0.2936842105263158,0.34578947368421054,0.1838793103448276,0.22034482758620688,0.8483478260869566,0.9461739130434784,3.851842105263158,4.251272727272728,0.22894736842105265,0.29289473684210526,0.2944736842105263,0.3939473684210526,1.9001739130434783,1.9651376146788992,1.2686842105263159,1.3113157894736842,0.15495652173913044,0.27610169491525427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 3-2,3,2025,22,3,2,12,10,2,22,6,21,8
2025-12-04,MUN,WHU,T 1-1,1.0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,070hl,Senne Lammens,1,1,0,1,0,2025,14,False,070hl,G,1.0,1.0,90,90.0,630.0,2.25,32.5,0.025,0.052,2.25,4.68,2.25,32.5,0.025,0.052,2.25,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.011,0.01,0.99,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.003,0.0,0.27,1.0,9.0,0.011,0.014,0.99,1.26,0.0,1.0,0.0,0.002,0.0,0.18,2.0,16.0,0.022,0.025,1.98,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.01,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,6.2235,7.0065,6.2235,7.074000000000001,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.01173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.9039130434782608,1.0628571428571427,0.0,0.011250000000000001,0.0,0.0,0.18,0.37173913043478257,1.1249999999999998,1.2600000000000002,0.20624999999999996,0.2986363636363637,2.9034782608695653,2.567142857142857,0.0,0.01636363636363636,0.6187499999999999,0.8571428571428571,0.17217391304347826,0.10636363636363638,W 2-1,3,2025,21,2,1,14,9,5,21,7,11,17
2025-12-02,FUL,MCI,L 4-5,24.0,45,2,1,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,070hk,Samuel Chukwueze,0,0,0,0,0,2025,14,False,070hk,F,24.0,6.0,45,80.0,178.0,12.5,47.0,0.156,0.264,14.04,23.76,12.5,47.0,0.156,0.264,14.04,23.76,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.025,0.051,2.25,4.59,1.0,3.0,0.012,0.017,1.08,1.53,0.0,1.0,0.0,0.006,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.025,0.017,2.25,1.53,0.0,1.0,0.0,0.006,0.0,0.54,1.0,1.0,0.012,0.006,1.08,0.54,2.0,2.0,0.025,0.011,2.25,0.99,2.0,8.0,0.025,0.045,2.25,4.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.012,0.006,1.08,0.54,1.0,5.0,0.012,0.028,1.08,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.998750000000001,10.0475,6.84125,7.347945205479451,0.1453846153846154,0.22792207792207794,0.7024675324675325,0.9484615384615385,0.05076923076923077,0.11688311688311687,0.6253246753246754,0.7580769230769231,0.32025974025974024,0.4570129870129871,0.9507692307692307,1.3184415584415585,0.1390909090909091,0.24662337662337666,0.09467532467532469,0.21576923076923074,0.7270129870129871,0.9198701298701298,0.8665384615384614,0.8731168831168832,0.0,0.0796153846153846,1.2833766233766233,1.493076923076923,0.9327272727272726,1.268181818181818,0.1285714285714286,0.2517721518987342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 2-1,3,2025,17,2,1,8,9,-1,17,15,25,2
2025-12-02,FUL,MCI,L 4-5,4.5,7,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,070hj,Kevin Santos Lopes de Macedo,0,0,0,0,0,2025,14,False,070hj,F,4.5,4.5,7,8.0,380.0,4.0,50.0,0.5,0.132,45.0,11.88,4.0,50.0,0.5,0.132,45.0,11.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.013,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.125,0.013,11.25,1.17,0.0,2.0,0.0,0.005,0.0,0.45,0.0,11.0,0.0,0.029,0.0,2.6100000000000003,0.0,6.0,0.0,0.016,0.0,1.44,1.0,7.0,0.125,0.018,11.25,1.6199999999999999,0.0,3.0,0.0,0.008,0.0,0.72,1.0,21.0,0.125,0.055,11.25,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.008,0.0,0.72,0.0,6.0,0.0,0.016,0.0,1.44,0.0,2.0,0.0,0.005,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.998750000000001,10.0475,6.84125,7.347945205479451,0.1453846153846154,0.22792207792207794,0.7024675324675325,0.9484615384615385,0.05076923076923077,0.11688311688311687,0.6253246753246754,0.7580769230769231,0.32025974025974024,0.4570129870129871,0.9507692307692307,1.3184415584415585,0.1390909090909091,0.24662337662337666,0.09467532467532469,0.21576923076923074,0.7270129870129871,0.9198701298701298,0.8665384615384614,0.8731168831168832,0.0,0.0796153846153846,1.2833766233766233,1.493076923076923,0.9327272727272726,1.268181818181818,0.1285714285714286,0.2517721518987342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 2-1,3,2025,17,2,1,13,13,0,17,15,25,2
2025-12-03,WOL,NOT,L 0-1,0.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,070hd,Tolu Arokodare,0,0,0,0,0,2025,14,False,070hd,F,0.5,0.5,8,2.0,271.0,0.5,16.0,0.25,0.059,22.5,5.31,0.5,16.0,0.25,0.059,22.5,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.007,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.004,0.0,0.36,0.0,1.0,0.0,0.004,0.0,0.36,0.0,6.0,0.0,0.022,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.004,0.0,0.36,1.0,13.0,0.5,0.048,45.0,4.32,0.0,4.0,0.0,0.015,0.0,1.3499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.5,0.066,45.0,5.94,0.0,9.0,0.0,0.033,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.62672131147541,9.87864406779661,6.699836065573772,6.79271186440678,0.10428571428571429,0.27984375,0.43999999999999995,0.7957142857142858,0.0309375,0.07999999999999999,0.7000000000000001,0.7771428571428571,0.34428571428571436,0.52,1.3485714285714288,1.3985714285714286,0.046406249999999996,0.16734375,0.23343750000000002,0.23285714285714282,0.7328571428571429,1.0157142857142856,0.4842857142857142,0.7885714285714287,0.046406249999999996,0.09830769230769232,1.2514285714285713,1.7353125,1.4835937499999998,1.4414285714285715,0.13640625,0.24609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 0-1,0,2025,2,0,1,5,17,-12,2,20,12,16
2025-12-03,SUN,LIV,T 1-1,0.0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,070hc,Brian Brobbey,0,0,0,0,0,2025,14,True,070hc,F,0.0,0.0,61,26.0,151.0,14.5,36.0,0.558,0.238,50.220000000000006,21.419999999999998,5.5,18.0,0.212,0.119,19.08,10.709999999999999,1.0,2.0,0.038,0.013,3.42,1.17,0.0,1.0,0.0,0.007,0.0,0.63,0.0,1.0,0.0,0.007,0.0,0.63,2.0,3.0,0.077,0.02,6.93,1.8,0.0,1.0,0.0,0.007,0.0,0.63,0.0,4.0,0.0,0.026,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.026,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.007,0.0,0.63,3.0,8.0,0.115,0.053,10.35,4.77,0.0,2.0,0.0,0.013,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.445454545454544,9.66796875,7.896818181818182,6.85125,0.14823529411764705,0.2514705882352941,0.6952173913043478,0.8748529411764706,0.07695652173913044,0.10455882352941176,0.7464705882352941,0.8021739130434783,0.48176470588235293,0.530735294117647,0.8457352941176471,1.4214705882352945,0.09397058823529413,0.23029411764705882,0.23029411764705882,0.24617647058823527,0.6220588235294118,0.8722058823529412,1.0958823529411765,0.8801470588235293,0.0,0.08470588235294117,1.548529411764706,1.8211764705882354,1.160735294117647,1.449264705882353,0.12391304347826088,0.22956521739130428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 3-2,3,2025,22,3,2,9,9,0,22,6,21,8
