date,team,opp,score,fpts,min,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,player_id,player_name,ga,sv,pks,hcs,sm,season_x,matchweek,home_ind,scorerId,position,calc_fpts,apts,minutes,last_minutes,season_minutes,last_fpts,season_fpts,fpts_per_min_gameweek,fpts_per_min_season,fpts_per_90_gameweek,fpts_per_90_season,last_apts,season_apts,apts_per_min_gameweek,apts_per_min_season,apts_per_90_gameweek,apts_per_90_season,last_g,season_g,g_per_min_gameweek,g_per_min_season,g_per_90_gameweek,g_per_90_season,last_kp,season_kp,kp_per_min_gameweek,kp_per_min_season,kp_per_90_gameweek,kp_per_90_season,last_at,season_at,at_per_min_gameweek,at_per_min_season,at_per_90_gameweek,at_per_90_season,last_sot,season_sot,sot_per_min_gameweek,sot_per_min_season,sot_per_90_gameweek,sot_per_90_season,last_tkw,season_tkw,tkw_per_min_gameweek,tkw_per_min_season,tkw_per_90_gameweek,tkw_per_90_season,last_dis,season_dis,dis_per_min_gameweek,dis_per_min_season,dis_per_90_gameweek,dis_per_90_season,last_acnc,season_acnc,acnc_per_min_gameweek,acnc_per_min_season,acnc_per_90_gameweek,acnc_per_90_season,last_int,season_int,int_per_min_gameweek,int_per_min_season,int_per_90_gameweek,int_per_90_season,last_clr,season_clr,clr_per_min_gameweek,clr_per_min_season,clr_per_90_gameweek,clr_per_90_season,last_cos,season_cos,cos_per_min_gameweek,cos_per_min_season,cos_per_90_gameweek,cos_per_90_season,last_bs,season_bs,bs_per_min_gameweek,bs_per_min_season,bs_per_90_gameweek,bs_per_90_season,last_aer,season_aer,aer_per_min_gameweek,aer_per_min_season,aer_per_90_gameweek,aer_per_90_season,last_gao,season_gao,gao_per_min_gameweek,gao_per_min_season,gao_per_90_gameweek,gao_per_90_season,last_cs,season_cs,cs_per_min_gameweek,cs_per_min_season,cs_per_90_gameweek,cs_per_90_season,last_sv,season_sv,sv_per_min_gameweek,sv_per_min_season,sv_per_90_gameweek,sv_per_90_season,last_pks,season_pks,pks_per_min_gameweek,pks_per_min_season,pks_per_90_gameweek,pks_per_90_season,last_hcs,season_hcs,hcs_per_min_gameweek,hcs_per_min_season,hcs_per_90_gameweek,hcs_per_90_season,last_sm,season_sm,sm_per_min_gameweek,sm_per_min_season,sm_per_90_gameweek,sm_per_90_season,fantrax_projection,positional_avg_fpts_per_90_gameweek,positional_avg_fpts_per_90_season,positional_avg_apts_per_90_gameweek,positional_avg_apts_per_90_season,positional_avg_g_per_90_gameweek,positional_avg_g_per_90_season,positional_avg_kp_per_90_gameweek,positional_avg_kp_per_90_season,positional_avg_at_per_90_gameweek,positional_avg_at_per_90_season,positional_avg_sot_per_90_gameweek,positional_avg_sot_per_90_season,positional_avg_tkw_per_90_gameweek,positional_avg_tkw_per_90_season,positional_avg_dis_per_90_gameweek,positional_avg_dis_per_90_season,positional_avg_acnc_per_90_gameweek,positional_avg_acnc_per_90_season,positional_avg_int_per_90_gameweek,positional_avg_int_per_90_season,positional_avg_clr_per_90_gameweek,positional_avg_clr_per_90_season,positional_avg_cos_per_90_gameweek,positional_avg_cos_per_90_season,positional_avg_bs_per_90_gameweek,positional_avg_bs_per_90_season,positional_avg_aer_per_90_gameweek,positional_avg_aer_per_90_season,positional_avg_gao_per_90_gameweek,positional_avg_gao_per_90_season,positional_avg_cs_per_90_gameweek,positional_avg_cs_per_90_season,positional_avg_sv_per_90_gameweek,positional_avg_sv_per_90_season,positional_avg_pks_per_90_gameweek,positional_avg_pks_per_90_season,positional_avg_hcs_per_90_gameweek,positional_avg_hcs_per_90_season,positional_avg_sm_per_90_gameweek,positional_avg_sm_per_90_season,last_score,team_result,season_y,table_points_x,last_week_goals_for,last_week_goals_against,total_team_goals_for,total_team_goals_against,goal_differential,table_points_y,team_week_standing,table_points,team_week_standing_opp
2025-12-20,CRY,LEE,L 1-4,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,072h9,Joel Drakes-Thomas,0,0,0,0,0,2025,17,True,072h9,F,0.0,0.0,3,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,9.149516129032257,9.81,7.1608064516129035,7.1625,0.04781250000000001,0.25875,0.6525000000000001,0.87328125,0.0,0.10909090909090909,0.51890625,0.8634375000000001,0.3121875,0.5146875,2.067230769230769,1.3246875,0.06609375,0.18692307692307691,0.045,0.21184615384615385,0.534375,0.9393750000000001,0.9520312499999999,0.9323437500000001,0.0,0.08015625,1.52859375,1.5735937500000001,1.4081538461538463,1.37109375,0.046406249999999996,0.22970149253731345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 0-0,0,2025,26,0,0,0,0,0,26,7,16,17
2025-12-20,MCI,WHU,W 3-0,17.25,90,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,070hs,Gianluigi Donnarumma,0,4,0,0,0,2025,17,False,070hs,G,17.25,17.25,90,90.0,1170.0,17.75,97.5,0.197,0.083,17.73,7.470000000000001,17.75,97.5,0.197,0.083,17.73,7.470000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.033,0.019,2.97,1.71,0.0,1.0,0.0,0.001,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.011,0.008,0.99,0.72,0.0,12.0,0.0,0.01,0.0,0.9,1.0,6.0,0.011,0.005,0.99,0.45,4.0,25.0,0.044,0.021,3.96,1.8900000000000001,0.0,1.0,0.0,0.001,0.0,0.09,0.0,5.0,0.0,0.004,0.0,0.36,0.0,3.0,0.0,0.003,0.0,0.27,10.21,6.2235,7.0065,6.2235,7.074000000000001,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.01173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.9039130434782608,1.0628571428571427,0.0,0.011250000000000001,0.0,0.0,0.18,0.37173913043478257,1.1249999999999998,1.2600000000000002,0.20624999999999996,0.2986363636363637,2.9034782608695653,2.567142857142857,0.0,0.01636363636363636,0.6187499999999999,0.8571428571428571,0.17217391304347826,0.10636363636363638,W 3-0,3,2025,34,3,0,33,12,21,34,2,13,18
2025-12-22,FUL,NOT,W 1-0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,070hr,Jonah Kusi-Asare,0,0,0,0,0,2025,17,False,070hr,F,0.0,0.0,4,16.0,17.0,2.5,2.5,0.156,0.147,14.04,13.229999999999999,2.5,2.5,0.156,0.147,14.04,13.229999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.062,0.059,5.58,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.062,0.059,5.58,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.62672131147541,9.87864406779661,6.699836065573772,6.79271186440678,0.10428571428571429,0.27984375,0.43999999999999995,0.7957142857142858,0.0309375,0.07999999999999999,0.7000000000000001,0.7771428571428571,0.34428571428571436,0.52,1.3485714285714288,1.3985714285714286,0.046406249999999996,0.16734375,0.23343750000000002,0.23285714285714282,0.7328571428571429,1.0157142857142856,0.4842857142857142,0.7885714285714287,0.046406249999999996,0.09830769230769232,1.2514285714285713,1.7353125,1.4835937499999998,1.4414285714285715,0.13640625,0.24609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 4-5,0,2025,20,4,5,5,7,-2,20,14,18,16
2025-12-20,ARS,EVE,W 1-0,16.5,90,0,0,0,0,1,0,0,0,0,2,10,0,1,4,0,0,0,0,1,070hq,Piero Hincapié,0,0,0,0,0,2025,17,True,070hq,D,16.5,10.5,90,90.0,471.0,11.75,34.0,0.131,0.072,11.790000000000001,6.4799999999999995,11.75,28.0,0.131,0.059,11.790000000000001,5.31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.011,0.004,0.99,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.008,0.0,0.72,0.0,1.0,0.0,0.002,0.0,0.18,0.0,1.0,0.0,0.002,0.0,0.18,3.0,8.0,0.033,0.017,2.97,1.53,7.0,26.0,0.078,0.055,7.02,4.95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.011,0.008,0.99,0.72,6.0,13.0,0.067,0.028,6.03,2.52,1.0,5.0,0.011,0.011,0.99,0.99,0.0,1.0,0.0,0.002,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.44,7.084948453608248,6.441958762886598,5.0863917525773195,4.496288659793814,0.0,0.02632075471698113,0.2907692307692308,0.4093269230769231,0.0,0.04628571428571428,0.12953271028037383,0.10922330097087378,0.7808571428571428,1.050857142857143,0.28398058252427183,0.3923300970873786,0.10310679611650486,0.24116504854368928,0.9110377358490566,0.8772815533980584,3.5257281553398063,3.981122448979592,0.1939805825242718,0.35307692307692307,0.3098076923076923,0.42116504854368936,1.761923076923077,1.715242718446602,0.7733009708737864,1.2918181818181818,0.28285714285714286,0.2624299065420561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 2-1,3,2025,36,2,1,13,5,8,36,1,24,9
2025-12-20,TOT,LIV,L 1-2,5.0,79,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,070hp,Randal Kolo Muani,0,0,0,0,0,2025,17,False,070hp,F,5.0,5.0,79,79.0,529.0,10.0,27.0,0.127,0.051,11.43,4.59,10.0,27.0,0.127,0.051,11.43,4.59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.013,0.009,1.17,0.8099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002,0.0,0.18,2.0,8.0,0.025,0.015,2.25,1.3499999999999999,0.0,11.0,0.0,0.021,0.0,1.8900000000000001,1.0,1.0,0.013,0.002,1.17,0.18,1.0,2.0,0.013,0.004,1.17,0.36,1.0,5.0,0.013,0.009,1.17,0.8099999999999999,4.0,8.0,0.051,0.015,4.59,1.3499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.013,0.0,1.17,3.0,9.0,0.038,0.017,3.42,1.53,0.0,2.0,0.0,0.004,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.32,10.445454545454544,9.66796875,7.896818181818182,6.85125,0.14823529411764705,0.2514705882352941,0.6952173913043478,0.8748529411764706,0.07695652173913044,0.10455882352941176,0.7464705882352941,0.8021739130434783,0.48176470588235293,0.530735294117647,0.8457352941176471,1.4214705882352945,0.09397058823529413,0.23029411764705882,0.23029411764705882,0.24617647058823527,0.6220588235294118,0.8722058823529412,1.0958823529411765,0.8801470588235293,0.0,0.08470588235294117,1.548529411764706,1.8211764705882354,1.160735294117647,1.449264705882353,0.12391304347826088,0.22956521739130428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 0-3,0,2025,22,0,3,12,16,-4,22,12,26,6
2025-12-20,SUN,BHA,T 0-0,9.5,90,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,070ho,Lutsharel Geertruida,0,0,0,0,0,2025,17,True,070ho,D,9.5,3.5,90,90.0,525.0,0.0,18.0,0.0,0.034,0.0,3.06,0.0,18.0,0.0,0.034,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.011,0.004,0.99,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002,0.0,0.18,2.0,8.0,0.022,0.015,1.98,1.3499999999999999,0.0,2.0,0.0,0.004,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.008,0.0,0.72,4.0,20.0,0.044,0.038,3.96,3.42,0.0,5.0,0.0,0.01,0.0,0.9,1.0,4.0,0.011,0.008,0.99,0.72,0.0,5.0,0.0,0.01,0.0,0.9,3.0,9.0,0.033,0.017,2.97,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.880857142857144,7.501714285714287,6.663428571428573,5.359714285714286,0.0,0.013783783783783784,0.48567567567567566,0.5030357142857144,0.06827586206896552,0.04459459459459459,0.14017699115044246,0.10783783783783783,0.981081081081081,1.0005405405405408,0.33972972972972976,0.34702702702702704,0.0707142857142857,0.2254054054054054,0.741891891891892,0.9567567567567568,4.202432432432433,4.495794392523365,0.26598214285714283,0.31459459459459466,0.30000000000000004,0.3891891891891892,1.905405405405405,1.9542857142857142,0.8585840707964603,1.1975675675675674,0.21710526315789475,0.2645217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 0-3,0,2025,26,0,3,13,14,-1,26,8,23,10
2025-12-21,MUN,AVL,L 1-2,1.25,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,070hl,Senne Lammens,2,2,0,1,0,2025,17,True,070hl,G,1.25,1.25,90,90.0,900.0,2.0,36.5,0.022,0.041,1.98,3.69,2.0,36.5,0.022,0.041,1.98,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.007,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.003,0.0,0.27,4.0,15.0,0.044,0.017,3.96,1.53,0.0,1.0,0.0,0.001,0.0,0.09,5.0,23.0,0.056,0.026,5.04,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.008,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,5.129999999999998,6.9704999999999995,5.129999999999998,6.9795,0.0,0.0,0.0,0.02863636363636363,0.0,0.011250000000000001,0.0,0.0,0.0,0.01875,0.0,0.0,0.0,0.0,0.0,0.011250000000000001,1.2149999999999996,1.314,0.0,0.011250000000000001,0.0,0.0,0.26999999999999996,0.3555,1.4849999999999997,1.2257142857142858,0.20625000000000002,0.2895652173913044,2.8928571428571423,2.592,0.0,0.012272727272727274,0.6456521739130434,0.7714285714285714,0.20624999999999996,0.10636363636363638,T 4-4,1,2025,26,4,4,23,15,8,26,5,33,3
2025-12-22,FUL,NOT,W 1-0,16.0,77,0,1,1,0,1,0,0,0,1,0,0,3,0,2,0,1,0,0,1,070hj,Kevin Santos Lopes de Macedo,0,0,0,0,0,2025,17,False,070hj,F,16.0,16.0,77,21.0,408.0,0.0,54.5,0.0,0.134,0.0,12.06,0.0,54.5,0.0,0.134,0.0,12.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.015,0.0,1.3499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.012,0.0,1.08,0.0,2.0,0.0,0.005,0.0,0.45,0.0,12.0,0.0,0.029,0.0,2.6100000000000003,0.0,7.0,0.0,0.017,0.0,1.53,0.0,7.0,0.0,0.017,0.0,1.53,0.0,3.0,0.0,0.007,0.0,0.63,0.0,23.0,0.0,0.056,0.0,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.007,0.0,0.63,1.0,7.0,0.048,0.017,4.32,1.53,0.0,2.0,0.0,0.005,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33,8.62672131147541,9.87864406779661,6.699836065573772,6.79271186440678,0.10428571428571429,0.27984375,0.43999999999999995,0.7957142857142858,0.0309375,0.07999999999999999,0.7000000000000001,0.7771428571428571,0.34428571428571436,0.52,1.3485714285714288,1.3985714285714286,0.046406249999999996,0.16734375,0.23343750000000002,0.23285714285714282,0.7328571428571429,1.0157142857142856,0.4842857142857142,0.7885714285714287,0.046406249999999996,0.09830769230769232,1.2514285714285713,1.7353125,1.4835937499999998,1.4414285714285715,0.13640625,0.24609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 1-2,0,2025,20,1,2,18,20,-2,20,14,18,16
2025-12-20,EVE,ARS,L 0-1,2.0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,070hi,Merlin Röhl,0,0,0,0,0,2025,17,False,070hi,M,2.0,2.0,14,22.0,87.0,1.0,7.5,0.045,0.086,4.05,7.739999999999999,1.0,7.5,0.045,0.086,4.05,7.739999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.011,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.045,0.034,4.05,3.06,2.0,4.0,0.091,0.046,8.19,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.011,0.0,0.99,1.0,2.0,0.045,0.023,4.05,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.057,0.0,5.13,0.0,1.0,0.0,0.011,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.582033898305083,8.782307692307691,7.496694915254237,7.613846153846154,0.085078125,0.08855999999999999,0.9486290322580646,1.1083064516129033,0.07919999999999999,0.12672,0.3309448818897638,0.38104838709677413,0.9210483870967743,1.1039516129032256,1.0379032258064516,1.027741935483871,0.21888,0.27,0.5044354838709677,0.6125806451612903,1.1750806451612903,1.2505645161290322,0.5487096774193548,0.7178225806451614,0.1285714285714286,0.20249999999999996,0.9607142857142857,0.9410400000000001,1.1562096774193549,1.21032,0.1734677419354839,0.26274193548387104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 2-0,3,2025,24,2,0,2,5,-3,24,9,36,1
2025-12-20,CRY,LEE,L 1-4,9.5,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,070hh,Christantus Uche,0,0,0,0,0,2025,17,True,070hh,M,9.5,9.5,12,12.0,53.0,0.5,4.0,0.042,0.075,3.7800000000000002,6.75,0.5,4.0,0.042,0.075,3.7800000000000002,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.038,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.019,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.083,0.019,7.470000000000001,1.71,1.0,2.0,0.083,0.038,7.470000000000001,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.2675,8.131428571428572,6.666328125,7.147857142857143,0.050217391304347825,0.08404411764705882,0.929779411764706,1.0504477611940297,0.03666666666666667,0.12441176470588236,0.24220588235294116,0.37266666666666665,0.8913970588235295,1.0353333333333334,0.6447761194029851,0.9806666666666666,0.15600000000000003,0.2673913043478261,0.7038805970149254,0.588358208955224,1.058507462686567,1.2371641791044776,0.6646666666666666,0.6716417910447762,0.11133333333333333,0.18470149253731344,0.798582089552239,0.8388805970149253,1.1558955223880598,1.1592537313432838,0.1535294117647059,0.25411764705882356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L 0-3,0,2025,26,0,3,4,9,-5,26,7,16,17
